name,province_id
ILGIN,42
KADINHANI,42
KARAPINAR,42
KULU,42
SARAYÖNÜ,42
SEYDİŞEHİR,42
YUNAK,42
AKÖREN,42
ALTINEKİN,42
DEREBUCAK,42
HÜYÜK,42
KARATAY,42
MERAM,42
SELÇUKLU,42
TAŞKENT,42
AHIRLI,42
ÇELTİK,42
DERBENT,42
EMİRGAZİ,42
GÜNEYSINIR,42
HALKAPINAR,42
TUZLUKÇU,42
YALIHÜYÜK,42
AFŞİN,46
ANDIRIN,46
ELBİSTAN,46
GÖKSUN,46
PAZARCIK,46
TÜRKOĞLU,46
ÇAĞLAYANCERİT,46
EKİNÖZÜ,46
NURHAK,46
DULKADİROĞLU,46
ONİKİŞUBAT,46
AVANOS,50
DERİNKUYU,50
GÜLŞEHİR,50
HACIBEKTAŞ,50
KOZAKLI,50
MERKEZ,50
ÜRGÜP,50
ACIGÖL,50
AKYAZI,54
GEYVE,54
HENDEK,54
KARASU,54
KAYNARCA,54
SAPANCA,54
KOCAALİ,54
PAMUKOVA,54
TARAKLI,54
FERİZLİ,54
KARAPÜRÇEK,54
SÖĞÜTLÜ,54
ADAPAZARI,54
ARİFİYE,54
ERENLER,54
SERDİVAN,54
DİVRİĞİ,58
GEMEREK,58
GÜRÜN,58
HAFİK,58
İMRANLI,58
KANGAL,58
KOYULHİSAR,58
MERKEZ,58
SUŞEHRİ,58
ŞARKIŞLA,58
YILDIZELİ,58
ZARA,58
AKINCILAR,58
ALTINYAYLA,58
DOĞANŞAR,58
GÖLOVA,58
ULAŞ,58
ÇEMİŞGEZEK,62
HOZAT,62
MAZGİRT,62
NAZIMİYE,62
OVACIK,62
PERTEK,62
PÜLÜMÜR,62
MERKEZ,62
AKDAĞMADENİ,66
BOĞAZLIYAN,66
ÇAYIRALAN,66
ÇEKEREK,66
SARIKAYA,66
SORGUN,66
ŞEFAATLİ,66
YERKÖY,66
MERKEZ,66
AYDINCIK,66
ÇANDIR,66
KADIŞEHRİ,66
SARAYKENT,66
YENİFAKILI,66
ERMENEK,70
MERKEZ,70
AYRANCI,70
KAZIMKARABEKİR,70
BAŞYAYLA,70
SARIVELİLER,70
MERKEZ,74
KURUCAŞİLE,74
ULUS,74
AMASRA,74
EFLANİ,78
ESKİPAZAR,78
MERKEZ,78
OVACIK,78
SAFRANBOLU,78
YENİCE,78
MERKEZ,3
BOLVADİN,3
ÇAY,3
